user_id,preferred_difficulty,preferred_region,preferred_season,preferred_tags,activity_level
user_001,easy,south,summer,family|lake,medium
user_002,easy,north,spring,waterfall|wildlife,medium
user_003,easy,central,summer,forest|wildlife,low
user_004,hard,central,autumn,coastal|viewpoint,medium
user_005,moderate,east,autumn,lake|waterfall,high
user_006,easy,west,spring,forest|wildlife,low
user_007,moderate,north,winter,mountain|viewpoint,medium
user_008,hard,central,autumn,mountain|wildlife,medium
user_009,easy,east,spring,forest|lake,medium
user_010,moderate,west,autumn,mountain|waterfall,high
user_011,easy,north,summer,family|lake,low
user_012,moderate,west,autumn,lake|waterfall,medium
user_013,hard,east,spring,viewpoint|waterfall,high
user_014,easy,east,spring,family|waterfall,low
user_015,moderate,west,winter,lake|mountain,low
user_016,hard,east,summer,coastal|viewpoint,high
user_017,moderate,central,winter,mountain|viewpoint,low
user_018,hard,south,winter,viewpoint|wildlife,high
user_019,easy,south,winter,forest|lake,low
user_020,hard,central,autumn,coastal|waterfall,medium
user_021,moderate,east,spring,forest|mountain,high
user_022,moderate,east,summer,forest|waterfall,medium
user_023,easy,south,autumn,family|lake,medium
user_024,hard,central,autumn,mountain|waterfall,high
user_025,easy,south,spring,family|wildlife,medium
user_026,moderate,west,spring,forest|viewpoint,low
user_027,hard,west,summer,viewpoint|waterfall,high
user_028,moderate,central,summer,lake|waterfall,low
user_029,hard,central,winter,coastal|wildlife,medium
user_030,easy,north,summer,family|forest,low
user_031,easy,south,spring,forest|wildlife,medium
user_032,hard,east,winter,mountain|viewpoint,high
user_033,easy,south,winter,waterfall|wildlife,low
user_034,moderate,west,autumn,forest|viewpoint,high
user_035,hard,north,winter,mountain|waterfall,medium
user_036,easy,south,winter,lake|wildlife,medium
user_037,easy,south,spring,family|waterfall,low
user_038,easy,north,summer,forest|wildlife,medium
user_039,easy,west,spring,lake|waterfall,low
user_040,easy,west,autumn,family|waterfall,low
user_041,hard,east,summer,viewpoint|waterfall,medium
user_042,hard,east,spring,mountain|waterfall,high
user_043,easy,north,spring,lake|wildlife,low
user_044,moderate,south,winter,forest|viewpoint,high
user_045,moderate,central,spring,forest|lake,low
user_046,moderate,east,summer,lake|mountain,medium
user_047,easy,east,spring,family|waterfall,low
user_048,moderate,north,summer,forest|viewpoint,low
user_049,moderate,south,autumn,forest|mountain,medium
user_050,hard,central,spring,waterfall|wildlife,medium
user_051,moderate,east,spring,forest|lake,medium
user_052,hard,east,autumn,viewpoint|waterfall,high
user_053,moderate,central,winter,lake|mountain,medium
user_054,easy,east,spring,forest|waterfall,low
user_055,easy,west,winter,family|lake,low
user_056,easy,central,spring,forest|lake,medium
user_057,hard,west,summer,viewpoint|waterfall,high
user_058,easy,south,summer,family|forest,low
user_059,moderate,central,summer,viewpoint|waterfall,medium
user_060,moderate,west,spring,lake|viewpoint,high
user_061,easy,east,summer,lake|waterfall,low
user_062,moderate,west,summer,forest|waterfall,high
user_063,easy,south,summer,family|wildlife,low
user_064,easy,east,spring,family|waterfall,low
user_065,hard,central,autumn,coastal|wildlife,high
user_066,moderate,central,autumn,lake|mountain,high
user_067,moderate,east,winter,mountain|waterfall,low
user_068,easy,east,spring,lake|waterfall,medium
user_069,easy,east,winter,lake|wildlife,medium
user_070,moderate,north,autumn,mountain|viewpoint,low
user_071,hard,east,summer,coastal|wildlife,medium
user_072,moderate,central,autumn,lake|waterfall,low
user_073,easy,south,winter,family|wildlife,medium
user_074,hard,west,winter,coastal|wildlife,high
user_075,hard,east,autumn,mountain|viewpoint,medium
user_076,easy,south,summer,family|lake,low
user_077,easy,west,winter,forest|waterfall,low
user_078,hard,west,winter,coastal|viewpoint,high
user_079,moderate,west,summer,forest|viewpoint,low
user_080,moderate,north,summer,viewpoint|waterfall,low
user_081,moderate,west,autumn,lake|waterfall,high
user_082,hard,central,winter,coastal|waterfall,high
user_083,hard,east,summer,coastal|waterfall,high
user_084,hard,south,autumn,coastal|waterfall,high
user_085,moderate,east,autumn,lake|mountain,medium
user_086,moderate,south,winter,lake|viewpoint,high
