user_id,route_id,interaction_type,timestamp,interaction_weight
user_001,route_076,view,2025-01-02T13:05:00Z,1
user_001,route_024,view,2025-01-18T09:01:00Z,1
user_001,route_032,like,2025-02-15T22:42:00Z,3
user_001,route_110,checkin,2025-02-17T10:38:00Z,8
user_001,route_019,view,2025-02-19T00:13:00Z,1
user_001,route_037,view,2025-02-23T02:21:00Z,1
user_001,route_067,view,2025-02-25T23:00:00Z,1
user_001,route_106,view,2025-03-22T01:06:00Z,1
user_001,route_103,like,2025-03-25T14:04:00Z,3
user_001,route_041,like,2025-04-08T13:44:00Z,3
user_001,route_012,view,2025-05-02T03:03:00Z,1
user_001,route_004,view,2025-05-02T11:20:00Z,1
user_001,route_105,view,2025-05-08T22:04:00Z,1
user_001,route_028,like,2025-05-30T02:30:00Z,3
user_001,route_090,view,2025-06-07T12:30:00Z,1
user_001,route_098,view,2025-06-21T14:00:00Z,1
user_001,route_046,view,2025-07-12T05:46:00Z,1
user_001,route_069,view,2025-07-31T15:56:00Z,1
user_001,route_112,checkin,2025-08-13T23:26:00Z,8
user_001,route_089,view,2025-09-05T22:01:00Z,1
user_001,route_044,like,2025-09-12T04:21:00Z,3
user_001,route_066,view,2025-10-04T08:42:00Z,1
user_001,route_072,visit,2025-10-07T12:06:00Z,5
user_001,route_055,view,2025-10-09T15:09:00Z,1
user_001,route_065,like,2025-10-18T01:11:00Z,3
user_001,route_008,like,2025-10-23T20:48:00Z,3
user_001,route_113,like,2025-11-10T07:40:00Z,3
user_001,route_029,visit,2025-12-01T05:38:00Z,5
user_001,route_038,view,2025-12-05T08:05:00Z,1
user_001,route_034,view,2025-12-05T20:38:00Z,1
user_002,route_026,checkin,2025-01-22T13:05:00Z,8
user_002,route_083,like,2025-02-04T02:24:00Z,3
user_002,route_114,like,2025-02-21T09:55:00Z,3
user_002,route_030,view,2025-03-17T03:48:00Z,1
user_002,route_002,view,2025-03-27T06:51:00Z,1
user_002,route_102,view,2025-03-30T08:25:00Z,1
user_002,route_007,visit,2025-04-27T04:19:00Z,5
user_002,route_118,view,2025-06-22T09:19:00Z,1
user_002,route_036,view,2025-06-26T13:16:00Z,1
user_002,route_016,view,2025-07-22T10:44:00Z,1
user_002,route_076,view,2025-07-22T22:02:00Z,1
user_002,route_080,like,2025-08-01T04:09:00Z,3
user_002,route_095,like,2025-08-11T06:52:00Z,3
user_002,route_045,like,2025-08-15T10:17:00Z,3
user_002,route_052,like,2025-08-23T00:50:00Z,3
user_002,route_054,view,2025-09-01T08:57:00Z,1
user_002,route_066,view,2025-09-06T18:38:00Z,1
user_002,route_065,view,2025-09-09T22:43:00Z,1
user_002,route_012,checkin,2025-09-22T18:43:00Z,8
user_002,route_001,view,2025-10-10T10:54:00Z,1
user_002,route_068,view,2025-10-21T07:30:00Z,1
user_002,route_019,view,2025-10-26T03:59:00Z,1
user_002,route_055,view,2025-10-28T16:50:00Z,1
user_002,route_067,visit,2025-11-01T08:20:00Z,5
user_002,route_040,view,2025-11-06T20:05:00Z,1
user_002,route_008,view,2025-11-08T21:44:00Z,1
user_003,route_010,visit,2025-01-04T16:42:00Z,5
user_003,route_083,view,2025-01-30T07:02:00Z,1
user_003,route_033,view,2025-02-16T09:01:00Z,1
user_003,route_102,view,2025-03-05T21:01:00Z,1
user_003,route_082,visit,2025-03-25T08:47:00Z,5
user_003,route_036,checkin,2025-03-25T18:49:00Z,8
user_003,route_098,like,2025-04-24T20:14:00Z,3
user_003,route_059,visit,2025-04-25T08:38:00Z,5
user_003,route_065,view,2025-05-10T06:29:00Z,1
user_003,route_095,like,2025-05-18T20:26:00Z,3
user_003,route_022,like,2025-06-06T22:45:00Z,3
user_003,route_003,view,2025-07-04T22:12:00Z,1
user_003,route_038,view,2025-07-11T17:41:00Z,1
user_003,route_110,view,2025-08-05T12:54:00Z,1
user_003,route_028,like,2025-08-26T16:25:00Z,3
user_003,route_018,view,2025-08-31T18:35:00Z,1
user_003,route_105,view,2025-09-08T19:28:00Z,1
user_003,route_062,view,2025-09-24T19:25:00Z,1
user_003,route_031,visit,2025-11-28T05:38:00Z,5
user_003,route_037,visit,2025-12-16T00:30:00Z,5
user_004,route_047,view,2025-02-15T07:22:00Z,1
user_004,route_058,like,2025-03-02T15:03:00Z,3
user_004,route_041,view,2025-03-19T04:12:00Z,1
user_004,route_024,view,2025-03-28T18:48:00Z,1
user_004,route_118,like,2025-03-29T21:56:00Z,3
user_004,route_085,view,2025-04-01T10:40:00Z,1
user_004,route_078,view,2025-04-03T02:31:00Z,1
user_004,route_100,view,2025-04-04T21:57:00Z,1
