route_id,region,length_km,duration_hours,elevation_gain_m,difficulty,popularity,season,route_tags
route_001,east,2.5,1.0,210,easy,0.48,winter,family|forest|waterfall
route_002,central,4.8,1.5,99,easy,0.186,summer,forest|wildlife
route_003,central,12.2,4.7,279,moderate,0.731,winter,family|forest|lake
route_004,north,4.5,1.6,100,easy,0.686,autumn,waterfall|wildlife
route_005,north,7.9,4.2,774,moderate,0.263,summer,forest|viewpoint|waterfall
route_006,south,24.0,10.4,1223,hard,0.547,autumn,coastal|mountain
route_007,central,6.7,2.8,570,moderate,0.555,winter,forest|lake|mountain
route_008,south,5.2,2.3,288,easy,0.456,autumn,lake|waterfall|wildlife
route_009,central,5.3,1.9,58,easy,0.267,autumn,family|lake|viewpoint|waterfall
route_010,north,13.2,4.8,307,moderate,0.396,winter,forest|viewpoint
route_011,west,22.1,8.5,1358,hard,0.502,winter,coastal|viewpoint|waterfall
route_012,west,4.2,1.6,193,easy,0.505,autumn,lake|wildlife
route_013,central,7.3,3.3,608,moderate,0.371,winter,lake|mountain|viewpoint
route_014,east,28.0,12.9,1778,hard,0.447,winter,viewpoint|waterfall
route_015,south,12.7,8.0,1778,hard,0.191,winter,coastal|wildlife
route_016,west,4.4,1.4,165,easy,0.185,winter,waterfall|wildlife
route_017,north,24.6,8.3,983,hard,0.351,summer,coastal|viewpoint
route_018,north,7.0,2.1,250,easy,0.37,autumn,family|forest
route_019,west,22.0,9.7,999,hard,0.736,spring,mountain|wildlife
route_020,central,12.5,5.0,790,moderate,0.326,winter,forest|waterfall
route_021,east,4.8,1.6,143,easy,0.34,spring,forest|lake|wildlife
route_022,central,4.1,1.8,211,easy,0.444,autumn,family|forest
route_023,north,14.0,6.1,1651,hard,0.152,autumn,mountain|viewpoint
route_024,north,3.7,1.2,223,easy,0.361,autumn,family|forest
route_025,north,10.0,4.4,645,moderate,0.345,winter,lake|waterfall
route_026,east,2.4,1.1,171,easy,0.385,winter,forest|wildlife
route_027,west,10.6,3.4,413,moderate,0.31,spring,lake|viewpoint|waterfall
route_028,central,11.2,5.0,792,moderate,0.586,winter,forest|lake|mountain
route_029,east,5.4,2.4,271,easy,0.094,autumn,family|forest|lake
route_030,north,14.3,4.4,428,moderate,0.287,autumn,lake|mountain|viewpoint
route_031,central,11.5,4.8,338,moderate,0.524,spring,forest|mountain
route_032,south,9.1,4.1,814,moderate,0.274,autumn,forest|lake|mountain|waterfall
route_033,central,3.7,1.8,293,easy,0.567,autumn,forest|waterfall|wildlife
route_034,west,12.9,5.1,676,moderate,0.552,autumn,forest|viewpoint|wildlife
route_035,east,7.8,3.1,397,moderate,0.552,summer,forest|mountain
route_036,south,2.3,0.9,216,easy,0.471,winter,lake|waterfall|wildlife
route_037,west,4.2,1.5,254,easy,0.296,autumn,forest|lake|waterfall|wildlife
route_038,west,12.9,6.2,624,moderate,0.485,autumn,forest|viewpoint|waterfall
route_039,north,13.2,4.8,597,moderate,0.205,summer,mountain|viewpoint|waterfall
route_040,central,10.6,3.7,585,moderate,0.192,winter,lake|mountain|viewpoint
route_041,central,5.7,2.0,233,easy,0.799,summer,forest|waterfall|wildlife
route_042,south,13.0,5.5,639,moderate,0.109,winter,mountain|viewpoint|waterfall
route_043,east,10.7,4.7,824,moderate,0.529,autumn,forest|mountain|waterfall
route_044,east,3.6,1.2,172,easy,0.48,autumn,waterfall|wildlife
